@RELATION institutions
@ATTRIBUTE token_0 INTEGER
@ATTRIBUTE token_1 INTEGER
@ATTRIBUTE class {yes,no}

@DATA
{0 5,1 12,2 yes}
{0 3,1 6,2 no}
{0 16,1 37,2 yes}
{0 6,1 7,2 no}
{0 3,1 7,2 no}
{0 11,1 19,2 no}
{0 1,1 4,2 no}
{0 23,1 58,2 yes}
{0 15,1 45,2 yes}
{0 12,1 20,2 no}
{0 3,1 4,2 yes}
{0 11,1 23,2 yes}
{0 9,1 17,2 yes}
{0 23,1 55,2 no}
{0 6,1 11,2 yes}
{0 1,1 10,2 no}
{1 2,2 yes}
{0 14,1 30,2 yes}
{0 12,1 32,2 yes}
{0 10,1 30,2 yes}
{1 2,2 no}
{0 3,1 7,2 yes}
{0 15,1 31,2 yes}
{0 4,1 9,2 no}
{0 10,1 24,2 yes}
{0 4,1 16,2 yes}
{0 14,1 25,2 yes}
{1 3,2 yes}
{0 26,1 49,2 yes}
{0 5,1 12,2 no}
{0 13,1 29,2 no}
{0 1,1 3,2 no}
{0 1,1 3,2 yes}
{0 13,1 35,2 no}
{0 20,1 44,2 no}
{0 7,1 21,2 yes}
{0 16,1 37,2 yes}
{0 9,1 13,2 yes}
{0 22,1 66,2 no}
{0 5,1 18,2 yes}
{0 8,1 16,2 yes}
{0 8,1 17,2 no}
{0 9,1 19,2 no}
{0 6,1 19,2 yes}
{0 78,1 187,2 yes}
{0 8,1 10,2 yes}
{0 4,1 4,2 yes}
{0 3,1 6,2 no}
{0 9,1 21,2 yes}
{0 4,1 7,2 no}
{0 2,1 13,2 yes}
{0 4,1 16,2 yes}
{0 27,1 72,2 yes}
{0 2,1 12,2 yes}
{0 2,1 4,2 no}
{0 10,1 28,2 yes}
{0 1,1 2,2 yes}
{0 23,1 55,2 yes}
{1 1,2 yes}
{0 3,1 9,2 yes}
{0 3,1 8,2 no}
{0 8,1 17,2 yes}
{0 52,1 101,2 no}
{0 6,1 15,2 no}
{0 1,1 2,2 yes}
{0 15,1 28,2 no}
{0 2,1 6,2 no}
{0 4,1 4,2 no}
{0 7,1 8,2 no}
{0 10,1 32,2 yes}
{0 3,1 8,2 yes}
{0 11,1 15,2 yes}
{0 13,1 32,2 yes}
{0 6,1 7,2 no}
{0 13,1 22,2 no}
{0 12,1 36,2 yes}
{0 50,1 120,2 no}
{0 7,1 10,2 yes}
{0 4,1 7,2 yes}
{0 10,1 32,2 no}
{0 12,1 37,2 no}
{0 16,1 30,2 no}
{0 17,1 29,2 yes}
{0 2,1 3,2 no}
{0 22,1 59,2 yes}
{0 13,1 31,2 yes}
{0 1,1 3,2 yes}
{0 15,1 40,2 yes}
{0 7,1 20,2 yes}
{0 48,1 103,2 no}
{0 5,1 15,2 yes}
{0 4,1 12,2 yes}
{1 2,2 no}
{0 6,1 9,2 no}
{0 1,1 4,2 yes}
{0 17,1 45,2 no}
{0 1,1 2,2 yes}
{0 10,1 26,2 yes}
{0 14,1 34,2 yes}
{0 9,1 22,2 yes}
{0 3,1 6,2 yes}
{0 12,1 17,2 yes}
{0 35,1 69,2 yes}
{0 10,1 14,2 no}
{0 3,1 15,2 yes}
{0 15,1 34,2 yes}
{0 15,1 38,2 yes}
{0 12,1 29,2 yes}
{0 7,1 25,2 yes}
{0 17,1 50,2 no}
{0 75,1 182,2 no}
{0 1,1 1,2 no}
{0 8,1 12,2 yes}
{0 27,1 63,2 yes}
{0 4,1 6,2 no}
{0 3,1 2,2 yes}
{0 1,1 2,2 yes}
{0 1,1 3,2 yes}
{0 7,1 18,2 yes}
{0 1,1 2,2 yes}
{0 7,1 17,2 yes}
{0 36,1 81,2 yes}
{0 6,1 12,2 no}
{0 18,1 53,2 yes}
{0 7,1 19,2 no}
{1 1,2 no}
{0 29,1 91,2 yes}
{0 8,1 26,2 no}
{0 8,1 19,2 yes}
{0 8,1 25,2 yes}
{0 8,1 23,2 yes}
{0 33,1 73,2 yes}
{0 3,1 6,2 yes}
{0 12,1 40,2 yes}
{0 1,1 2,2 yes}
{0 10,1 22,2 yes}
{0 6,1 26,2 yes}
{0 4,1 14,2 yes}
{0 13,1 29,2 yes}
{0 12,1 23,2 no}
{0 28,1 56,2 yes}
{0 34,1 77,2 no}
{0 36,1 85,2 yes}
{0 5,1 12,2 yes}
{0 8,1 14,2 yes}
{0 44,1 96,2 no}
{0 11,1 16,2 no}
{0 12,1 33,2 yes}
{0 2,1 4,2 yes}
{0 3,1 13,2 yes}
{0 1,1 2,2 no}
{0 14,1 31,2 yes}
{0 5,1 11,2 yes}
{0 10,1 29,2 yes}
{0 8,1 27,2 yes}
{0 12,1 22,2 yes}
{0 3,1 9,2 yes}
{0 10,1 25,2 yes}
{0 1,1 3,2 yes}
{0 1,1 2,2 yes}
{1 1,2 no}
{0 1,1 1,2 no}
{0 59,1 124,2 yes}
{0 7,1 22,2 yes}
{0 16,1 30,2 yes}
{0 1,1 2,2 yes}
{0 61,1 119,2 no}
{0 3,1 9,2 yes}
{0 2,1 3,2 no}
{0 6,1 9,2 no}
{0 6,1 11,2 yes}
{0 5,1 10,2 yes}
{0 12,1 19,2 yes}
{0 5,1 15,2 yes}
{0 17,1 50,2 yes}
{0 24,1 53,2 yes}
{0 1,1 1,2 no}
{0 1,1 4,2 yes}
{0 13,1 32,2 yes}
{1 1,2 yes}
{0 6,1 9,2 yes}
{0 1,1 1,2 yes}
{0 24,1 67,2 no}
{0 24,1 63,2 yes}
{0 31,1 54,2 yes}
{0 15,1 25,2 no}
{0 12,1 35,2 no}
{0 5,1 12,2 yes}
{0 4,1 12,2 yes}
{0 9,1 16,2 no}
{0 19,1 54,2 yes}
{0 18,1 42,2 no}
{0 23,1 46,2 no}
{0 4,1 13,2 yes}
{0 2,1 6,2 yes}
{0 15,1 48,2 no}
{0 16,1 27,2 yes}
{0 8,1 11,2 yes}
{0 9,1 25,2 yes}
{1 2,2 yes}
{0 3,1 6,2 no}
{0 9,1 18,2 yes}
{0 22,1 44,2 no}
{0 2,1 3,2 yes}
{0 8,1 9,2 yes}
{0 11,1 23,2 yes}
{0 10,1 26,2 no}
{0 8,1 13,2 yes}
{0 118,1 245,2 yes}
{0 1,1 2,2 yes}
{1 1,2 no}
{0 9,1 25,2 no}
{1 2,2 yes}
{0 10,1 32,2 yes}
{0 1,1 4,2 yes}
{0 17,1 40,2 yes}
{0 1,1 2,2 yes}
{0 3,1 17,2 yes}
{0 14,1 33,2 yes}
{0 10,1 19,2 yes}
{0 20,1 49,2 no}
{0 10,1 29,2 yes}
{0 15,1 52,2 yes}
{0 5,1 13,2 no}
{0 23,1 50,2 yes}
{0 4,1 6,2 yes}
{0 12,1 29,2 yes}
{0 17,1 37,2 yes}
{0 13,1 33,2 yes}
{0 2,1 6,2 yes}
{0 11,1 30,2 yes}
{0 15,1 37,2 yes}
{0 16,1 34,2 yes}
{0 4,1 16,2 no}
{0 6,1 12,2 yes}
{0 4,1 7,2 no}
{0 5,1 16,2 yes}
{0 15,1 40,2 yes}
{0 52,1 105,2 no}
{0 9,1 20,2 yes}
{0 4,1 21,2 no}
{0 5,1 17,2 yes}
{0 1,1 2,2 yes}
{0 6,1 11,2 yes}
{0 10,1 15,2 yes}
{0 30,1 58,2 yes}
{1 1,2 yes}
{0 6,1 18,2 yes}
{0 10,1 26,2 yes}
{0 3,1 5,2 yes}
{0 5,1 10,2 no}
{0 9,1 30,2 yes}
{0 38,1 104,2 yes}
{0 8,1 14,2 yes}
{0 2,1 3,2 no}
{0 34,1 69,2 no}
{0 2,1 7,2 yes}
{0 18,1 39,2 no}
{0 2,1 5,2 yes}
{0 11,1 27,2 yes}
{0 6,1 20,2 yes}
{0 3,1 7,2 yes}
{0 3,1 7,2 no}
{0 15,1 42,2 no}
{0 5,1 14,2 yes}
{0 4,1 21,2 yes}
{0 8,1 22,2 no}
{0 2,1 6,2 yes}
{0 10,1 20,2 yes}
{0 23,1 62,2 yes}
{0 17,1 45,2 yes}
{0 11,1 21,2 yes}
{0 3,1 12,2 no}
