@RELATION institutions
@ATTRIBUTE token_0 INTEGER
@ATTRIBUTE token_1 INTEGER
@ATTRIBUTE token_2 INTEGER
@ATTRIBUTE token_3 INTEGER
@ATTRIBUTE class {yes,no}

@DATA
{0 2,1 3,2 2,3 10,4 yes}
{0 1,1 2,2 2,3 4,4 no}
{0 6,1 10,2 4,3 33,4 yes}
{0 4,1 2,2 1,3 6,4 no}
{0 2,1 1,2 1,3 6,4 no}
{0 3,1 8,2 3,3 16,4 no}
{1 1,2 2,3 2,4 no}
{0 8,1 15,2 5,3 53,4 yes}
{0 7,1 8,2 5,3 40,4 yes}
{0 4,1 8,2 4,3 16,4 no}
{0 1,1 2,2 1,3 3,4 yes}
{0 2,1 9,2 4,3 19,4 yes}
{0 3,1 6,2 3,3 14,4 yes}
{0 8,1 15,2 8,3 47,4 no}
{0 3,1 3,3 11,4 yes}
{0 1,2 1,3 9,4 no}
{2 1,3 1,4 yes}
{0 5,1 9,2 7,3 23,4 yes}
{0 5,1 7,2 5,3 27,4 yes}
{0 6,1 4,2 2,3 28,4 yes}
{2 1,3 1,4 no}
{0 2,1 1,2 1,3 6,4 yes}
{0 8,1 7,2 3,3 28,4 yes}
{0 2,1 2,2 1,3 8,4 no}
{0 5,1 5,2 2,3 22,4 yes}
{0 2,1 2,2 2,3 14,4 yes}
{0 9,1 5,2 3,3 22,4 yes}
{2 1,3 2,4 yes}
{0 8,1 18,2 8,3 41,4 yes}
{0 1,1 4,2 2,3 10,4 no}
{0 4,1 9,2 3,3 26,4 no}
{1 1,3 3,4 no}
{1 1,2 1,3 2,4 yes}
{0 6,1 7,2 3,3 32,4 no}
{0 8,1 12,2 8,3 36,4 no}
{0 4,1 3,2 3,3 18,4 yes}
{0 4,1 12,2 7,3 30,4 yes}
{0 2,1 7,2 1,3 12,4 yes}
{0 9,1 13,2 12,3 54,4 no}
{0 2,1 3,3 18,4 yes}
{0 1,1 7,2 4,3 12,4 yes}
{0 3,1 5,2 3,3 14,4 no}
{0 3,1 6,2 1,3 18,4 no}
{0 2,1 4,2 1,3 18,4 yes}
{0 28,1 50,2 26,3 161,4 yes}
{0 3,1 5,2 1,3 9,4 yes}
{0 2,1 2,2 1,3 3,4 yes}
{0 1,1 2,3 6,4 no}
{0 4,1 5,2 4,3 17,4 yes}
{0 2,1 2,2 1,3 6,4 no}
{0 2,2 1,3 12,4 yes}
{0 1,1 3,2 4,3 12,4 yes}
{0 7,1 20,2 11,3 61,4 yes}
{1 2,2 1,3 11,4 yes}
{1 2,2 1,3 3,4 no}
{0 3,1 7,2 4,3 24,4 yes}
{1 1,2 1,3 1,4 yes}
{0 6,1 17,2 8,3 47,4 yes}
{3 1,4 yes}
{0 2,1 1,2 1,3 8,4 yes}
{1 3,2 1,3 7,4 no}
{0 4,1 4,2 1,3 16,4 yes}
{0 17,1 35,2 18,3 83,4 no}
{0 3,1 3,2 3,3 12,4 no}
{1 1,3 2,4 yes}
{0 3,1 12,2 5,3 23,4 no}
{1 2,2 1,3 5,4 no}
{1 4,2 2,3 2,4 no}
{0 2,1 5,2 2,3 6,4 no}
{0 3,1 7,2 6,3 26,4 yes}
{0 1,1 2,2 1,3 7,4 yes}
{0 7,1 4,2 2,3 13,4 yes}
{0 3,1 10,2 5,3 27,4 yes}
{0 2,1 4,3 7,4 no}
{0 3,1 10,2 5,3 17,4 no}
{0 5,1 7,2 5,3 31,4 yes}
{0 18,1 32,2 16,3 104,4 no}
{0 4,1 3,2 1,3 9,4 yes}
